SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/1/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/2/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/3/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/4/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/5/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/6/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/7/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/8/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/9/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/10/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
"Microsoft Azure Sponsorship - $250k - 2020-07","7fb63b07-add6-45d4-a25a-49e2801b1e8d","10/11/2022","d4dbd82d-238a-53ec-aa3e-002efcbc1eb2","Virtual Machines","Dsv4 Series","US West 2","D2s v4","24","2.304000"
