idx,steps,episodes,reward,time,agent0_reward,agent1_reward,agent2_reward,agent3_reward,agent4_reward,agent5_reward
0,590,10,-62.637,17.704,-10.44,-10.44,-10.44,-10.44,-10.44,-10.44
1,1180,20,-70.06,16.813,-11.68,-11.68,-11.68,-11.68,-11.68,-11.68
2,1770,30,-85.472,16.721,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25
3,2360,40,-71.494,16.718,-11.92,-11.92,-11.92,-11.92,-11.92,-11.92
4,2950,50,-71.728,16.719,-11.95,-11.95,-11.95,-11.95,-11.95,-11.95
5,3540,60,-55.921,20.173,-9.32,-9.32,-9.32,-9.32,-9.32,-9.32
6,4130,70,-75.816,22.626,-12.64,-12.64,-12.64,-12.64,-12.64,-12.64
7,4720,80,-78.926,22.642,-13.15,-13.15,-13.15,-13.15,-13.15,-13.15
8,5310,90,-84.805,22.61,-14.13,-14.13,-14.13,-14.13,-14.13,-14.13
9,5900,100,-76.201,22.642,-12.7,-12.7,-12.7,-12.7,-12.7,-12.7
10,6490,110,-72.962,22.642,-12.16,-12.16,-12.16,-12.16,-12.16,-12.16
11,7080,120,-67.178,22.642,-11.2,-11.2,-11.2,-11.2,-11.2,-11.2
12,7670,130,-77.136,22.72,-12.86,-12.86,-12.86,-12.86,-12.86,-12.86
13,8260,140,-84.205,22.657,-14.03,-14.03,-14.03,-14.03,-14.03,-14.03
14,8850,150,-83.913,22.688,-13.99,-13.99,-13.99,-13.99,-13.99,-13.99
15,9440,160,-51.387,22.657,-8.56,-8.56,-8.56,-8.56,-8.56,-8.56
16,10030,170,-37.799,22.657,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3
17,10620,180,-39.312,22.673,-6.55,-6.55,-6.55,-6.55,-6.55,-6.55
18,11210,190,-30.101,23.298,-5.02,-5.02,-5.02,-5.02,-5.02,-5.02
19,11800,200,-21.906,22.642,-3.65,-3.65,-3.65,-3.65,-3.65,-3.65
20,12390,210,-19.983,22.673,-3.33,-3.33,-3.33,-3.33,-3.33,-3.33
21,12980,220,-21.468,22.642,-3.58,-3.58,-3.58,-3.58,-3.58,-3.58
22,13570,230,-22.63,22.657,-3.77,-3.77,-3.77,-3.77,-3.77,-3.77
23,14160,240,-17.506,22.673,-2.92,-2.92,-2.92,-2.92,-2.92,-2.92
24,14750,250,-16.725,22.673,-2.79,-2.79,-2.79,-2.79,-2.79,-2.79
25,15340,260,-15.879,22.657,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65
26,15930,270,-16.359,22.751,-2.73,-2.73,-2.73,-2.73,-2.73,-2.73
27,16520,280,-13.446,22.688,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24
28,17110,290,-13.347,22.673,-2.22,-2.22,-2.22,-2.22,-2.22,-2.22
29,17700,300,-12.659,22.673,-2.11,-2.11,-2.11,-2.11,-2.11,-2.11
30,18290,310,-12.679,22.657,-2.11,-2.11,-2.11,-2.11,-2.11,-2.11
31,18880,320,-11.687,22.532,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95
32,19470,330,-11.481,22.501,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91
33,20060,340,-13.961,22.516,-2.33,-2.33,-2.33,-2.33,-2.33,-2.33
34,20650,350,-11.323,22.517,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89
35,21240,360,-10.98,22.47,-1.83,-1.83,-1.83,-1.83,-1.83,-1.83
36,21830,370,-11.574,22.501,-1.93,-1.93,-1.93,-1.93,-1.93,-1.93
37,22420,380,-11.509,22.454,-1.92,-1.92,-1.92,-1.92,-1.92,-1.92
38,23010,390,-11.101,22.563,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85
39,23600,400,-10.888,22.517,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81
40,24190,410,-10.361,22.47,-1.73,-1.73,-1.73,-1.73,-1.73,-1.73
41,24780,420,-11.323,22.532,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89
42,25370,430,-10.692,22.517,-1.78,-1.78,-1.78,-1.78,-1.78,-1.78
43,25960,440,-10.457,22.532,-1.74,-1.74,-1.74,-1.74,-1.74,-1.74
44,26550,450,-10.134,22.501,-1.69,-1.69,-1.69,-1.69,-1.69,-1.69
45,27140,460,-10.268,22.485,-1.71,-1.71,-1.71,-1.71,-1.71,-1.71
46,27730,470,-10.854,22.516,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81
47,28320,480,-11.021,22.501,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84
48,28910,490,-9.919,22.47,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65
49,29500,500,-10.016,22.501,-1.67,-1.67,-1.67,-1.67,-1.67,-1.67
50,30090,510,-9.934,22.688,-1.66,-1.66,-1.66,-1.66,-1.66,-1.66
51,30680,520,-9.875,22.548,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65
52,31270,530,-9.415,22.548,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
53,31860,540,-10.36,22.532,-1.73,-1.73,-1.73,-1.73,-1.73,-1.73
54,32450,550,-9.787,22.626,-1.63,-1.63,-1.63,-1.63,-1.63,-1.63
55,33040,560,-9.427,22.579,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
56,33630,570,-8.91,22.501,-1.49,-1.49,-1.49,-1.49,-1.49,-1.49
57,34220,580,-9.087,22.501,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51
58,34810,590,-9.676,22.517,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61
59,35400,600,-8.144,22.501,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36
60,35990,610,-8.365,22.485,-1.39,-1.39,-1.39,-1.39,-1.39,-1.39
61,36580,620,-9.189,22.517,-1.53,-1.53,-1.53,-1.53,-1.53,-1.53
62,37170,630,-8.449,22.501,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41
63,37760,640,-8.577,22.532,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43
64,38350,650,-9.173,22.485,-1.53,-1.53,-1.53,-1.53,-1.53,-1.53
65,38940,660,-8.854,22.501,-1.48,-1.48,-1.48,-1.48,-1.48,-1.48
66,39530,670,-8.662,22.485,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44
67,40120,680,-7.967,22.485,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33
68,40710,690,-7.952,22.501,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33
69,41300,700,-9.327,22.47,-1.55,-1.55,-1.55,-1.55,-1.55,-1.55
70,41890,710,-8.464,22.501,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41
71,42480,720,-7.533,22.501,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26
72,43070,730,-8.354,22.501,-1.39,-1.39,-1.39,-1.39,-1.39,-1.39
73,43660,740,-7.866,22.501,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31
74,44250,750,-8.019,22.516,-1.34,-1.34,-1.34,-1.34,-1.34,-1.34
75,44840,760,-8.564,22.532,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43
76,45430,770,-7.823,22.563,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
77,46020,780,-8.284,22.596,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38
78,46610,790,-7.571,22.656,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26
79,47200,800,-7.437,22.626,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24
80,47790,810,-7.83,22.642,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31
81,48380,820,-8.506,22.61,-1.42,-1.42,-1.42,-1.42,-1.42,-1.42
82,48970,830,-7.48,22.595,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
83,49560,840,-7.953,22.626,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33
84,50150,850,-7.348,22.642,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22
85,50740,860,-7.744,22.642,-1.29,-1.29,-1.29,-1.29,-1.29,-1.29
86,51330,870,-8.804,22.673,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47
87,51920,880,-7.607,26.064,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27
88,52510,890,-7.266,26.595,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21
89,53100,900,-8.568,28.564,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43
90,53690,910,-7.543,26.235,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26
