ensemble_name,sample_key,ensemble_id,acure_bl_nuc,acure_ait_width,acure_cloud_ph,acure_carb_ff_ems,acure_carb_ff_ems_eur,acure_carb_ff_ems_nam,acure_carb_ff_ems_chi,acure_carb_ff_ems_asi,acure_carb_ff_ems_mar,acure_carb_ff_ems_r,acure_carb_bb_ems,acure_carb_bb_ems_sam,acure_carb_bb_ems_naf,acure_carb_bb_ems_saf,acure_carb_bb_ems_bnh,acure_carb_bb_ems_rnh,acure_carb_bb_ems_rsh,acure_carb_res_ems,acure_carb_res_ems_chi,acure_carb_res_ems_asi,acure_carb_res_ems_afr,acure_carb_res_ems_lat,acure_carb_res_ems_r,acure_carb_ff_diam,acure_carb_bb_diam,acure_carb_res_diam,acure_prim_so4_diam,acure_sea_spray,acure_anth_so2,acure_anth_so2_chi,acure_anth_so2_asi,acure_anth_so2_eur,acure_anth_so2_nam,acure_anth_so2_r,acure_volc_so2,acure_bvoc_soa,acure_dms,acure_prim_moc,acure_dry_dep_ait,acure_dry_dep_acc,acure_dry_dep_so2,acure_kappa_oc,acure_sig_w,acure_rain_frac,acure_cloud_ice_thresh,acure_convective_plume_scavenging,acure_scav_diam,acure_bc_ri,acure_oxidants_oh,acure_oxidants_o3,bparam,two_d_fsd_factor,c_r_correl,acure_autoconv_exp_lwp,acure_autoconv_exp_nd,dbsdtbs_turb_0,ai,m_ci,a_ent_1_rp,acure_pcalc_index
acure_aircraft,u-bs714_ens,1,0.5,0.65,0.396,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.095238095,0.146341463,1,0.5,1,0.557492951,0.557492951,0.557492951,0.557492951,0.557492951,0.283145598,0.466532506,0.502276639,0.338358104,0.5,0.5,0.5,1,0.712414374,0,1,1,1,0.7,0.576175045,0.576175045,0.5,0.4,0.9,0.275862069,0.605,0.15,0.514,0.333333333,0.46,0
acure_aircraft,u-bs714_ens,1,0.47,0.5,0.5,1,0.53,0.47,0.53,0.47,0.53,0.47,1,0.53,0.47,0.53,0.47,0.53,0.47,1,0.53,0.47,0.53,0.47,0.53,0.47,0.5,0.5,0.5,0.53,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.47,0.5,0.53,0.47,0.53,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
acure_aircraft,u-bs714_ens,1,0.710941213,0.195667532,0.744665862,1,0.866501897,0.499545502,0.70267947,0.381856411,0.226259918,0.823332412,1,0.006986296,0.183128113,0.647450027,0.073302686,0.193147807,0.639804439,1,0.200487065,0.294788327,0.830871591,0.764096049,0.522069322,0.721766355,0.89972592,0.846497165,0.04268196,0.197166165,1,0.820138426,0.4285317,0.239606785,0.258199517,0.639192963,0.406138574,0.884234837,0.366679738,0.968361743,0.920687443,0.992951735,0.989393032,0.799073863,0.17192003,0.957307801,0.57832512,0.051700588,0.549720798,0.802700305,0.001501457,0.959828578,0.051760874,0.001719917,0.023989632,0.581674918,0.065685103,0.787827128,0.043208908,0.237118853,0.1155949,2
acure_aircraft,u-bs714_ens,1,0.713513997,0.122972715,0.756881461,1,0.049401921,0.66900923,0.915870627,0.958562914,0.954557251,0.572696883,1,0.343367279,0.940479262,0.534873138,0.795677865,0.988556981,0.199578194,1,0.643090816,0.830839704,0.679823459,0.307817342,0.997187246,0.63832066,0.9581923,0.356077244,0.010074829,0.699452298,1,0.899359522,0.85577669,0.654219797,0.818984505,0.740094343,0.302097417,0.987435256,0.824363858,0.075900932,0.080274796,0.037608421,0.782247835,0.422980328,0.671242251,0.390593479,0.857610109,0.989247138,0.077283693,0.192075724,0.759738483,0.543362136,0.073573977,0.885934028,0.607512403,0.022531705,0.850374925,0.093569665,0.832531885,0.368879355,0.829427744,3
acure_aircraft,u-bs714_ens,1,0.065088745,0.901750597,0.140694024,1,0.607080302,0.878187262,0.645853033,0.359752342,0.206862036,0.617028266,1,0.75316098,0.43908655,0.180962717,0.613462709,0.575115971,0.749084573,1,0.414988366,0.869416661,0.131724859,0.934017518,0.968065608,0.048809122,0.368199735,0.823711381,0.877956172,0.127840019,1,0.901218576,0.706003946,0.316778221,0.94867011,0.024765473,0.882889421,0.275540641,0.200748721,0.598084104,0.037283799,0.899568695,0.040200262,0.999947715,0.148293684,0.228988806,0.041889096,0.017141899,0.865618674,0.296164142,0.544950739,0.463452889,0.996705961,0.52150682,0.402583545,0.042612214,0.002643435,0.978522749,0.645716201,0.434388648,0.929855846,4
acure_aircraft,u-bs714_ens,1,0.066553429,0.307931308,0.813968262,1,0.831501053,0.263881267,0.44886645,0.232463363,0.95154612,0.261670084,1,0.25404787,0.973973911,0.650463879,0.387998471,0.089154859,0.130714773,1,0.750624861,0.200606319,0.09719334,0.357826843,0.072309917,0.217125743,0.004564015,0.827030422,0.08663456,0.552654121,1,0.010065267,0.034343228,0.041720895,0.775827314,0.129772251,0.590670608,0.523168766,0.929887874,0.600009823,0.513039715,0.93552962,0.400362783,0.180130517,0.470645651,0.901408169,0.877607698,0.850113073,0.023271959,0.312875644,0.33562456,0.837845632,0.283370139,0.373039386,0.975217235,0.871623293,0.87646286,0.858215894,0.879962389,0.220413726,0.077024672,5
acure_aircraft,u-bs714_ens,1,0.027863131,0.238003569,0.900460671,1,0.21971575,0.589605284,0.886415966,0.830311839,0.936738482,0.870996076,1,0.473144064,0.231261602,0.182892973,0.432894844,0.170206016,0.949674071,1,0.918440878,0.583499763,0.949110331,0.830859878,0.140469959,0.167436623,0.371481949,0.926940709,0.960513493,0.652485865,1,0.299628541,0.688606086,0.456378134,0.061748373,0.61942471,0.245256424,0.121507341,0.335957105,0.818230208,0.839308215,0.052496256,0.914915813,0.074291535,0.479549956,0.671856093,0.069589959,0.912452009,0.205874656,0.327175061,0.728718012,0.441076183,0.141812724,0.992450784,0.06964272,0.860613979,0.595344353,0.478860072,0.889372835,0.91994358,0.976798178,6
acure_aircraft,u-bs714_ens,1,0.508058464,0.465756727,0.141920602,1,0.471500469,0.085000392,0.06988434,0.058170369,0.015063323,0.391657027,1,0.417738193,0.745436738,0.827879222,0.229074073,0.470669676,0.825003802,1,0.301695509,0.036591529,0.071070962,0.477597985,0.946341075,0.225814823,0.420292895,0.751228067,0.715947585,0.73793063,1,0.103423972,0.090227368,0.517492353,0.067192002,0.87468026,0.781912229,0.375429543,0.689212799,0.176854001,0.0418506,0.258833412,0.701939946,0.933976448,0.003352789,0.942604632,0.194597311,0.069392498,0.266965433,0.435301192,0.922038864,0.29760513,0.309791683,0.047954854,0.932764654,0.819029617,0.905890906,0.234129353,0.137494372,0.900421874,0.108822469,7
acure_aircraft,u-bs714_ens,1,0.057644293,0.837070345,0.041805819,1,0.3490145,0.418777934,0.288909529,0.633902204,0.091897272,0.883881903,1,0.372571488,0.321692936,0.194660093,0.270980095,0.813117244,0.056867845,1,0.912567302,0.356762045,0.203013477,0.001242499,0.244196704,0.043250518,0.662809499,0.161590912,0.53945366,0.039687406,1,0.630129962,0.017025275,0.018780897,0.468786182,0.275239636,0.08080913,0.304747179,0.279320999,0.214532267,0.859279123,0.257478534,0.071506692,0.184579284,0.813639569,0.887251223,0.98330038,0.707492771,0.929416993,0.934701823,0.966140801,0.865716081,0.925874431,0.055184506,0.643807039,0.335285775,0.430163853,0.098259714,0.013998729,0.683105456,0.522115184,8
acure_aircraft,u-bs714_ens,1,0.950078492,0.957301235,0.287656593,1,0.859916503,0.922660391,0.432326155,0.215676985,0.804090869,0.078434873,1,0.794299359,0.573080573,0.022214997,0.95821829,0.541565253,0.30076514,1,0.20654011,0.887296249,0.932837366,0.903881368,0.798932464,0.300747762,0.080704091,0.61695513,0.685316325,0.894236275,1,0.932310741,0.531769284,0.025877152,0.248592353,0.701366752,0.074467786,0.051220759,0.899570882,0.81273259,0.037716265,0.398735359,0.06718783,0.586928191,0.996086833,0.559108695,0.823104641,0.520108615,0.085510331,0.095150239,0.038218484,0.376611764,0.319796095,0.044221002,0.775823649,0.180979394,0.95115945,0.965255147,0.249477948,0.610798997,0.72944312,9
