id,dataset,index,longitude
GOMu0.04_0,GOMu0.04/expt_90.1m000,0,-98.0
GOMu0.04_1,GOMu0.04/expt_90.1m000,1,-97.96002197265625
GOMu0.04_2,GOMu0.04/expt_90.1m000,2,-97.91998291015625
GOMu0.04_3,GOMu0.04/expt_90.1m000,3,-97.8800048828125
GOMu0.04_4,GOMu0.04/expt_90.1m000,4,-97.8399658203125
GOMu0.04_5,GOMu0.04/expt_90.1m000,5,-97.79998779296875
GOMu0.04_6,GOMu0.04/expt_90.1m000,6,-97.760009765625
GOMu0.04_7,GOMu0.04/expt_90.1m000,7,-97.719970703125
GOMu0.04_8,GOMu0.04/expt_90.1m000,8,-97.67999267578125
GOMu0.04_9,GOMu0.04/expt_90.1m000,9,-97.6400146484375
GOMu0.04_10,GOMu0.04/expt_90.1m000,10,-97.5999755859375
GOMu0.04_11,GOMu0.04/expt_90.1m000,11,-97.55999755859375
GOMu0.04_12,GOMu0.04/expt_90.1m000,12,-97.52001953125
GOMu0.04_13,GOMu0.04/expt_90.1m000,13,-97.47998046875
GOMu0.04_14,GOMu0.04/expt_90.1m000,14,-97.44000244140625
GOMu0.04_15,GOMu0.04/expt_90.1m000,15,-97.4000244140625
GOMu0.04_16,GOMu0.04/expt_90.1m000,16,-97.3599853515625
GOMu0.04_17,GOMu0.04/expt_90.1m000,17,-97.32000732421875
GOMu0.04_18,GOMu0.04/expt_90.1m000,18,-97.280029296875
GOMu0.04_19,GOMu0.04/expt_90.1m000,19,-97.239990234375
GOMu0.04_20,GOMu0.04/expt_90.1m000,20,-97.20001220703125
GOMu0.04_21,GOMu0.04/expt_90.1m000,21,-97.1600341796875
GOMu0.04_22,GOMu0.04/expt_90.1m000,22,-97.1199951171875
GOMu0.04_23,GOMu0.04/expt_90.1m000,23,-97.08001708984375
GOMu0.04_24,GOMu0.04/expt_90.1m000,24,-97.03997802734375
GOMu0.04_25,GOMu0.04/expt_90.1m000,25,-97.0
GOMu0.04_26,GOMu0.04/expt_90.1m000,26,-96.96002197265625
GOMu0.04_27,GOMu0.04/expt_90.1m000,27,-96.91998291015625
GOMu0.04_28,GOMu0.04/expt_90.1m000,28,-96.8800048828125
GOMu0.04_29,GOMu0.04/expt_90.1m000,29,-96.8399658203125
GOMu0.04_30,GOMu0.04/expt_90.1m000,30,-96.79998779296875
GOMu0.04_31,GOMu0.04/expt_90.1m000,31,-96.760009765625
GOMu0.04_32,GOMu0.04/expt_90.1m000,32,-96.719970703125
GOMu0.04_33,GOMu0.04/expt_90.1m000,33,-96.67999267578125
GOMu0.04_34,GOMu0.04/expt_90.1m000,34,-96.6400146484375
GOMu0.04_35,GOMu0.04/expt_90.1m000,35,-96.5999755859375
